[80:00] 今天現在很單只要499
[80:01] 500塊都不用
[80:02] 如果你喜歡起滴滴的朋友
[80:03] 可以自己多帶幾盒
[80:05] 期間限定
[80:06] 那我們手上這一盒
[80:07] 大概到11月24
[80:08] 10月底
[80:09] 因為日本的餅乾大家知道
[80:10] 他本來就沒有辦法放肚子
[80:12] 那效期本來就會比較短一點
[80:13] 我們技術也會幫你圈量
[80:15] 好我們一般
[80:16] 我們到貨源中文圈庫
[80:17] 對圈量效期如果還是
[80:19] 那個快到了
[80:20] 你馬上就是直接幫我們拆單劑給你
[80:22] 對
[80:22] 反而都不期成本
[80:23] 會主動拆單給你們
[80:25] 來
[80:25] 這個a16先加
[80:27] 八路的紫荷包裝的
[80:29] 八路紫荷包裝是a16
[80:30] 線上很單是499
[80:32] 來啊這個鐵盒是12路
[80:34] 我們就開a17標
[80:35] 你給他們進看一下鐵盒好了
[80:37] 這個到時候
[80:38] 這個到時候要那個了
[80:40] 要算一下
[80:41] 來
[80:41] 這個是鐵盒的
[80:42] 因為他們都快解凡了
[80:44] 應該都已經解凡了
[80:45] 我覺得
[80:45] 來
[80:46] 這是鐵盒的鐵盒
[80:47] 我跟你們這些數量
[80:47] 都很有限
[80:48] 你們正常直播
[80:49] 沒有喊到的話
[80:50] 我跟你講
[80:51] 明後天
[80:51] 他可能我們就會下購物車
[80:52] 因為已經被我們掃空了
[80:54] 庫船最後庫船都被我們掃空了
[80:55] 來
[80:56] 這是我們餅乾的
[80:57] 一樣剛剛那款
[80:58] 一模一模一樣的
[80:59] 裡面是裝12路的
[81:01] 裡面是12路的
[81:02] 來
[81:08] 8路499好不好
[81:10] 然後12路給你們這個鐵盒
[81:12] 好不好
[81:12] 給你們這個鐵盒
[81:13] 你看這鐵盒
[81:14] 每一面哦
[81:15] 的起起地地都不一樣哦
[81:16] 對
[81:17] 超級才可愛
[81:17] 然後你鐵盒還可以留下來
[81:20] 留下來就是裝別的東西
[81:22] 來
[81:22] 今天a17你開啦
[81:23] 你要多少錢
[81:25] 我看不懂你要開多少錢
[81:27] 不行這個
[81:28] 今天給大家
[81:29] 你說不行
[81:30] 來今天
[81:31] 這個給大家
[81:32] 三層架鐵盒的
[81:33] 三層架989
[81:34] 現在加899帶回家
[81:35] 899
[81:36] 899帶回家
[81:38] 而且我覺得他這個圖案真的
[81:39] 很療癒
[81:40] 好不好
[81:41] 你看
[81:41] 其實說在游泳圈上面
[81:43] 他整個是說你要去深浪啊
[81:45] 然後他們今天那個
[81:46] 今天是要去海邊玩
[81:48] 這個就看大家
[81:49] 因為這個
[81:50] 他就是經濟實惠8路的
[81:52] 然後紙盒包裝是499
[81:54] 他這個就是這個鐵盒包裝
[81:56] 12路899
[81:57] 然後你鐵盒呢
[81:58] 就是吃完餅乾之後
[81:59] 鐵盒還可以留下來重複利用
[82:01] 他這個起起地地很可愛的鐵盒
[82:03] 那鐵盒在配送中
[82:04] 都可能會有一些碰撞
[82:05] 對
[82:06] 我們會盡量幫你們
[82:08] 保護好
[82:09] 你們有買過我們家的商品
[82:11] 應該都知道我們的
[82:12] 我們是不惜成本
[82:14] 在幫大家加強包裝
[82:16] 但是還是有可能
[82:17] 鐵盒會有變形啦
[82:19] 或者是凹橫什麼
[82:20] 這個先跟大家講
[82:22] 這個真的是不可避免的
[82:24] 大家應該都知道
[82:25] 我們真的
[82:26] 沒有人泡帽子包成像我們單子
[82:28] 可以接受再喊
[82:29] 因為畢竟物流也不是我們開的
[82:31] 我們就是
[82:32] 只能盡量幫你們保護
[82:34] 好不好
[82:35] 盡量幫你們保護
[82:36] 來A16
[82:37] 紫盒包裝8路499
[82:38] A17
[82:39] 鐵盒包裝12路的899
[82:42] 來鐵盒四面再給他們看一次
[82:45] 鐵盒四面再給你們看一次
[82:46] 正面是起起地地的游泳圈上面
[82:48] 然後做一個很療癒的感覺
[82:50] 然後旁邊是他們要去衝浪啊
[82:52] 還有他們在那個
[82:54] 一個這個
[82:54] 他會幫他刪封啊
[82:56] 然後還有他們
[82:57] 在那個上面
[82:58] 把一個最低點的post
[83:00] 然後還有他們的那個背影在這邊
[83:02] 四盒都是做不同的圖案
[83:03] 然後整個顏色配置都是很可愛
[83:06] 超可愛的
[83:06] 然後他也是要覺得
[83:07] 把你的商品拿給他們
[83:09] 因為期間限定
[83:09] 然後一樣哦
[83:10] 東京東京本檔那個東西
[83:12] 就是我們去幫你們採買的時候
[83:14] 如果我們會盡量請他們
[83:15] 付紙袋給我們啦好不好
[83:16] 對紙袋我們今天都會配給你們
[83:18] 會付一個紙袋給你們
[83:20] 一盒會付一個紙袋給你們
[83:21] 來剛剛吃了很多餅乾
[83:23] 我們來萬聖節限定的糖果
[83:25] 糖果
[83:26] 他是我喜歡的那種糖果耶
[83:29] 來
[83:29] 這個糖果哦
[83:30] 他是那個你看有個鬼鬼嘛
[83:32] 就是萬聖節要當的啦
[83:34] 萬聖節限定的
[83:35] 萬聖節限定的
[83:36] 那個哈利波特的糖果
[83:39] 我先一年來去看哈利波特的電影
[83:41] 他那個重印
[83:42] 一盒是十二代好不好
[83:44] 一盒是十二代
[83:45] 然後是做這種小屋
[83:46] 小房子式的包裝
[83:48] 小房子式的包裝
[83:49] 超級無敵
[83:50] 可愛的
[83:50] 來我看一下他的圖案
[83:52] 就是每一包不一樣
[83:53] 他是我們的哈瑞堡
[83:55] 哈利波特靈靡造型的軟糖
[83:57] 對裡面包裝都包裝都一樣
