[100:00] 這個是呢
[100:01] 日本的
[100:02] 好市多出的
[100:04] Omega的這種魚油糖果
[100:06] 然後它是芒果口味的
[100:08] 芒果口味的
[100:10] 魚油軟糖好不好
[100:11] 魚油軟糖
[100:12] 然後呢
[100:13] 夾鏈帶包裝
[100:14] 好不好夾鏈帶包裝
[100:16] 你看了
[100:17] 他真的是一隻魚
[100:19] 我只一隻魚
[100:22] 然後呢
[100:23] 芒果口味的
[100:24] 裡面會有一天吃一顆就夠了
[100:26] 對好不好
[100:27] 一天吃一天就夠了
[100:28] 然後你們看
[100:29] 他有BHA跟EPA200 Megawatt
[100:32] 然後呢就是
[100:34] 小朋友我們吃DHA
[100:35] 就是幫助我們小朋友的腦力發展
[100:38] 然後跟
[100:40] 配讓他比較近的心下來
[100:42] 那大人要吃也ok
[100:44] 好不好
[100:45] 大人要吃也ok
[100:46] 好那一天就是
[100:47] 媽媽我也好衝
[100:47] 要不要吃吃看
[100:48] 一天一顆就夠了
[100:50] 如果你今天不管吃這種
[100:52] 大人的魚油膠囊的
[100:54] 你就可以考慮這個
[100:55] 他們現在日本都是都會出這種
[100:57] 很厲害的機能性的零食
[101:00] 機能性的零食
[101:00] 他等於是你吃了10片那個魚
[101:03] 魚瘦食
[101:04] 可以攝取的
[101:05] 等於一顆等於你吃了10片生魚片
[101:08] 好不好
[101:09] 吃的是10片生魚片
[101:10] 大人都說多吃魚嘛
[101:12] 可以那個眼睛會變的好
[101:13] 那你今天吃一顆可以抵食
[101:15] 然後吃個瘦食上面的魚
[101:17] 然後小朋友一樣
[101:19] 會吞
[101:19] 會吞那個糖果的哦
[101:22] 會吞糖果再來吃
[101:23] 那裡面他是
[101:25] 一天一顆裡面呢
[101:26] 他有四袋
[101:28] 然後一袋是25顆
[101:29] 所以可以吃100天
[101:32] 100天就是三個月又10天
[101:34] 好不好三個月又10天
[101:35] 那小朋友就是
[101:36] 會吞糖果的才可以吃
[101:38] 好不好會吞糖果才吃
[101:40] 可以吃然後芒果口味
[101:42] 那小朋友大人都可以吃
[101:43] 好不好小朋友大人都可以吃
[101:45] 來今天要的朋友是
[101:47] a 22
[101:48] 後面騎牙齒是講這個嗎
[101:51] 這已經拿去泡了要等一下
[101:54] 好不好
[101:55] 小騎至少到27年的3月
[101:57] 好不好
[101:58] 小騎至少到27年的3月
[102:00] 來今天想要吃這個芒果
[102:02] 吃芒果糖果輕輕鬆鬆補充
[102:04] 我們的Omega3
[102:05] 的魚油軟糖裡面有的DHA跟EPA
[102:09] 總共200 ng
[102:10] 在裡面然後非常方便
[102:12] 給學生吃也很方便學生
[102:13] 隨著你叫他吃這個有時候
[102:16] 吃上學就忘記了
[102:17] 一袋一天一顆
[102:18] 非常非常方便是軟糖是軟糖
[102:20] 很好吃的軟糖
[102:22] 大家可以看一次
[102:23] 魚它是魚造型的軟糖
[102:26] 然後口感很好很好吃
[102:28] 日本現在就很厲害
[102:29] 把這些保健食品
[102:30] 全部都變成這種軟糖
