[120:00] 減少呢
[120:01] 就是抗氧化
[120:02] 就是幫你比較怕老的人
[120:04] 很適合補充花精素
[120:06] 眼睛不好的人
[120:07] 也很適合補充花精素
[120:09] 然後又對吸血管
[120:10] 對膽固醇各種方面
[120:11] 非常有幫助
[120:13] 然後把它做成一個
[120:13] 營養健康的臨時
[120:15] 這好處
[120:15] 我們現場的
[120:16] 每個人吃
[120:16] 每個人都做讚
[120:17] 每個人都說讚
[120:19] 好不好
[120:19] 買幾包
[120:20] 然後如果你很喜歡那種
[120:21] 藝美的
[120:22] 以前藝美巧克力
[120:23] 脆脆
[120:23] 現在還有
[120:25] 現在還有
[120:25] 他說是不是那種味道
[120:27] 吃起來
[120:27] 脆脆的
[120:28] 很好吃
[120:29] 這個
[120:29] 如果你推薦
[120:30] 你們至少加兩包
[120:31] 加三包
[120:31] 把娘真心推薦給大家
[120:33] 好不好
[120:33] 真心推薦給她
[120:34] 很好吃
[120:35] 快一包一包
[120:35] 然後吃了
[120:36] 又營養又健康
[120:37] 又補充蛋白質
[120:38] 對 超好吃
[120:39] 加二就五九九了
[120:40] 對 加一包
[120:41] 加一
[120:42] 現場加一包
[120:42] 加一
[120:43] 加加加一
[120:45] 對 現在加六百五
[120:46] 加一包是六百五
[120:47] 加兩包就給你五九九
[120:49] 對
[120:49] 兩包 三包 四包 五包
[120:50] 一包都是五九九
[120:52] 好好吃
[120:54] 這很好吃
[120:55] 真的
[120:55] 很好吃
[120:56] 豐富
[120:56] 我沒有吃過
[120:57] 到時候我們可以分一分吃
[120:59] 可以
[120:59] 沒問題
[121:00] 來
[121:00] 再來
[121:01] 我們剛剛味覺糖
[121:02] 全部都是吃怎樣
[121:03] 健康的
[121:04] 來
[121:05] 這個是吃什麼的
[121:06] 漂亮的
[121:08] 漂亮
[121:09] 來
[121:09] 這個一樣是全新的味覺糖
[121:11] 然後裡面
[121:12] 有兩種
[121:13] 好不好 有兩種
[121:14] 一種是水蜜桃口味
[121:16] 一種是
[121:17] 這也是藍莓嗎
[121:18] 對
[121:19] 來
[121:19] 這個我可以打開嗎
[121:20] 山梨鮮蜂葡萄
[121:22] 先問一下好了
[121:23] 水蜜桃跟山梨鮮蜂葡萄
[121:24] 它是味覺糖
[121:25] 青山白桃
[121:26] 跟我們的山梨鮮蜂葡萄
[121:28] 一袋是七百二十八克
[121:31] 然後那裡面
[121:32] 我記得是我叫的蛋白對不對
[121:33] 這裡
[121:34] 呃
[121:36] 我看一下
[121:36] 等我一下哦
[121:38] 我等一下
[121:40] 等一下
[121:40] 我看你們猜
[121:41] 因為那個是廠商的
[121:42] 來
[121:43] 我們先來那個
[121:44] 東京本南南的最後一款
[121:46] 好不好
[121:46] 今天東京本南南的最後一款呢
[121:48] 我們叫玩具總動員的餅乾
[121:51] 也是最新的最新出的
[121:53] 最新聯名的
[121:54] 玩具總動員的餅乾
[121:55] ok 請開
[121:56] 可以開
[121:56] 我跟你講
[121:57] 玩具總動員的這個
[121:58] 你要先哪一個
[121:59] 我我查你
[122:00] 先看
[122:01] 好來
[122:02] 我跟你講
[122:02] 我們現在來介紹這個
[122:03] 玩具總動員的餅乾
[122:05] 他這個餅乾跟我們剛剛那個
[122:06] 我給你們
[122:07] 我給你們看一下哦
[122:08] 他這個跟我們剛剛那個巧克力的夾心
[122:11] 是一樣的
[122:11] 一樣的
[122:12] 一樣的夾心
[122:13] 只是他外面
[122:14] 哎沒有
[122:15] 他是不一樣的
[122:16] 你去那邊幫我拿一個那個餅乾的
[122:18] 香蕉的那個
[122:20] 香蕉的餅乾
[122:20] 我給他們看一下
[122:22] 就是香蕉餅乾
[122:23] 對一般的香蕉餅乾
[122:25] 他不是有照片
[122:26] 有
[122:27] 但是我想說那邊有一個
[122:28] 我去給他看就好了
[122:29] 有那個香蕉形狀的
[122:30] 就最經典的那個
[122:31] 不是不是
[122:32] 沒有嗎
[122:33] 好沒關係
[122:34] 那我我開給他們看
[122:35] 開給他們看
[122:36] 你看看啊
[122:37] 最標有含的這一盒直接抽給你
[122:39] 沒有
[122:39] 真的哦
[122:40] 說
[122:40] 好啊好啊
[122:41] 可是他會少一個哦
[122:43] 對他一段彎的
[122:44] 你又吃這樣就哦
[122:45] 你打開他早餐
[122:47] 那好像不好意思
[122:47] 對啊不好意思
[122:48] 我們自己吃啦
[122:50] 來那這標的話
[122:51] 他是最新最新的
[122:52] 你們知道嗎
[122:53] 玩具總動員前陣子上
[122:54] 最新的最新的電影
[122:56] 那他也是配合電影
[122:57] 去做了一個最新的聯名
[122:58] 最新的聯名
[122:59] 然後這個我打開給你看
[123:01] 我們今天賣的是
[123:02] 食入的寶裝
[123:03] 食物的寶裝
[123:04] 它裡面是最經典的那一種
[123:05] 最經典的
[123:06] 玩具總動員的餅乾
[123:08] 有沒有
[123:08] 他裡面會附你一張貼紙
[123:10] 那這貼紙的話會是隨機
[123:12] 有八十多年或是
[123:14] 那我現在拿到隨時
[123:16] 都有可能啦
[123:16] 都有可能有三種人物
[123:18] 來給你們看一下裡面打開
[123:20] 你們裡面的每一個包裝
[123:21] 都是長得不太一樣的
[123:22] 我剛有拿到一樣
[123:23] 來
[123:23] 香蕉奶喜口味哦
[123:24] 對
[123:25] 它是香蕉奶喜口味的
[123:26] 來給你們看一下
[123:27] 裡面都有多種的不同的包裝
[123:28] 有那個紅心跟胡迪
[123:30] 跟八十個三年館的
[123:32] 人物好不好
[123:33] 因為配合了
[123:33] 他們這次上的戰略的電影
[123:35] 所以我跟你講
[123:35] 這個的話數量會比較多
[123:37] 然後你們就自己撥撥
[123:38] 我不知道你要哪一種
[123:39] 先不要先加入
[123:40] 我們頁面上面
[123:41] VIP社群
[123:41] 然後傳照片給我們好不好
[123:43] 這樣子打開
[123:43] 你們就
[123:44] 我開到一個好好笑的哦
[123:46] 來
[123:46] 我開到了Andy的簽名
[123:48] Andy的簽名
[123:50] Andy的簽名
[123:51] 然後他頁面就是外層是那個
[123:52] TOKYO BANANA
[123:53] 他這個那個
[123:54] 最精對的
[123:55] 很好吃很脆的那個
[123:57] 餅乾的外層
[123:58] 然後裡面夾的是
[123:59] 我們剛才講的說是
[124:00] 香蕉奶喜口味的
[124:03] 我想再開一個可以嗎
[124:04] 我想找一個有人物的
[124:05] 你開了你都開了
[124:06] 沒關係
[124:07] 你就直接開
[124:08] 我想找一個有人物的
[124:08] 給你們看
[124:09] 沒關係
[124:10] 我可以兩片
[124:11] 我開到了
[124:12] 三眼掛有沒有
[124:14] 超級厲害
[124:15] 他每一片裡面都會有不同的
[124:17] 弄圓的那個人物造型
[124:19] 我剛才說到Andy真的很特別
[124:20] 很特別
[124:21] 來
