[140:00] 在好市多現場也有賣一標
[140:02] 那個
[140:03] 我叫我是100路的
[140:04] 那個奶茶
[140:06] 你也可以去購物車家好不好
[140:08] 或者是到
[140:08] 看我們中午場的直播回發
[140:10] 來 A29要的自己加了
[140:13] 商城價799
[140:14] 線上價750塊
[140:16] 今天加兩盒以上的
[140:17] 還有組合價
[140:18] 加兩盒以上的一盒
[140:19] 只要699
[140:21] 那我覺得好市多這種東西
[140:22] 都非常棒
[140:22] 因為它都是做禮盒包
[140:24] 禮盒式的包裝合裝的
[140:26] 所以如果你今天要自己喝
[140:27] 送禮
[140:28] 都非常棒好不好
[140:29] 都非常棒
[140:30] 因為沒有人不喜歡日本的東西
[140:32] 好不好
[140:33] 直接一盒60個送客戶
[140:35] 送朋友都很棒好不好
[140:37] 來 A29要自己加了
[140:38] 大家都很懂哦
[140:39] 都直接加二起來囉
[140:41] 因為超划算
[140:42] 你11塊你去
[140:44] 超便宜
[140:44] 而且11塊你去叮咚
[140:47] 你買得到飲料嗎
[140:48] 有些人會再買牛奶
[140:49] 然後再把他加進去
[140:51] 會更濃厚
[140:53] 然後會更像
[140:54] 咖啡廳賣的那一種
[140:56] 但後來他本身喝就很好喝了
[140:57] 很高級感
[140:58] 高級感
[140:59] 你就不要講
[141:00] 丁東早餐店11塊
[141:02] 都買得到飲料
[141:03] 來 我今天賣
[141:04] 你們那個價格
[141:04] 真的非常優惠好不好
[141:05] 超優惠
[141:06] 來 你們要的自己加
[141:08] 好
[141:09] 來
[141:10] 那這個先賣這個
[141:11] 你們都很好吃的
[141:12] 來
[141:13] 再來哦
[141:14] 下一標
[141:14] 這你要準備嗎
[141:15] 假的 我不要我給我一個
[141:16] 來
[141:17] 這個是因為我本身不煮飯
[141:18] 但是這個愛玲跟剛剛小蝦
[141:21] 他說這個超好吃
[141:24] 這個超好吃好不好
[141:26] 來 這個呢
[141:28] 對 什麼都可以加
[141:29] 然後是調味調味料
[141:31] 然後我們這個是兩罐一起賣嗎
[141:33] 對
[141:35] 兩罐一起賣
[141:36] 然後一罐是400克好不好
[141:40] 你今天要吃串燒啦
[141:41] 炒飯啦
[141:42] 任何
[141:43] 任何菜
[141:44] 你加它
[141:45] 就會變
[141:46] 就會變美味好不好
[141:48] 加它就變美味
[141:49] 來
[141:50] 它是一個胡椒鹽對不對
[141:52] 對
[141:53] 鹽
[141:53] 胡椒鹽
[141:54] 胡椒鹽
[141:55] 他們都說超好吃
[141:57] 幫我往上一點好不好
[141:58] 他們都說超好吃
[141:59] 你不管牛排啦
[142:00] 烤肉啦
[142:01] 炒菜啦好不好
[142:04] 都非常好吃
[142:04] 因為烤
[142:05] 中秋季
[142:06] 蛋白肉最來不來得及啦
[142:07] 好不好
[142:07] 假設來得及
[142:08] 終於有點到的
[142:09] 串燒上面 烤肉上面
[142:10] 撒一下
[142:11] 非常非常好吃
[142:12] 它是一個胡椒鹽好不好
[142:14] 然後胡椒鹽
[142:17] 你為什麼碰到麵包拿掉
[142:21] 然後我們一罐
[142:22] 一罐
[142:23] 一包裡面是兩罐好不好
[142:26] 兩罐
[142:27] 然後反正你任何的食品
[142:29] 食物
[142:30] 加這個胡椒
[142:31] 調味
[142:32] 它都非常好吃
[142:33] 這個
[142:33] 大家都說讚好不好
[142:34] 大家都說讚
[142:35] 含糖嗎
[142:36] 你是說哪一個含糖
[142:37] 有
[142:38] 抹茶
[142:38] 剛剛那個是
[142:40] 微糖對不對
[142:41] 微糖微糖
[142:42] 好不好
[142:43] 微微的微微的微微的
[142:45] 來
[142:46] 這個裡面
[142:46] 今天是賣兩罐給大家
[142:48] 胡椒鹽賣兩罐給大家
[142:50] 關鍵字幫我打A30
[142:52] 如果你知道
[142:53] 這個有時候
[142:55] 會不會煮飯
[142:55] 就是擦在你知道嗎
[142:57] 最後的調味料
[142:58] 有時候我們叫外送來難吃的藥
[143:00] 實在是
[143:01] 自己加這個胡椒鹽調味一下
[143:03] 它就變好吃了
[143:04] 我們是賣日本境內版的
[143:06] 日本境內版
[143:07] 加在麵裡面
[143:08] 加在飯裡面
[143:10] 湯裡面
[143:11] 燒肉裡面
[143:12] 牛排啦
[143:13] 通通都可以
[143:14] 非常非常好吃
[143:16] 來
[143:16] 今天要的朋友幫我打A30加1
[143:19] 今天只要給大家兩罐好不好
[143:22] 給大家兩罐
[143:23] 來
[143:23] 今天要的朋友
[143:24] 今天A30加1
[143:26] 兩罐只要
[143:28] 390塊帶回家
[143:30] 你們今天如果自己在家裡
[143:31] 兩罐390
[143:32] 我們有時候會煎一些什麼魚排
[143:35] 雞排
[143:35] 牛排啊
[143:36] 什麼
[143:36] 或你今天自己有說
[143:37] 讓人家說一些串燒什麼的
[143:39] 你今天會是炒一些炒飯
[143:41] 我跟你講
[143:42] 你今天加了這個胡椒粉
[143:43] 上去直接變成你在外面
[143:45] 那種米麒麟等級
[143:46] 廚師萬里炒菜的人級
[143:48] 自己當大廚的概念
[143:49] 對
[143:50] 當大廚的概念
[143:51] 還有這個我跟你講
[143:51] 我們今天賣的是日本境內版
[143:53] 境內版的
[143:54] 境內版的
[143:55] 是日本這邊
[143:56] 當地當地方
[143:56] 當我們空運回去的商品
[143:58] 來今天加1
[143:59] 我們給大家直接
[144:00] 390塊帶回家
[144:02] 一罐不用200塊耶
[144:04] 沒錯
[144:04] 直接一罐不用200塊
[144:06] 一罐不用200塊哦
[144:07] 不用兩罐
[144:08] A30加1的蔬料
[144:10] 加1就是兩罐給你們
[144:11] 那效期的話
[144:12] 這都是正常效期
[144:13] 正常最新效期
[144:14] 2027年的8月
[144:15] 8月
[144:16] 那你們收的會更久更久哦
[144:18] 嗯自己加起來
[144:19] 這不要這麼的胡椒鹽
[144:21] 總共是400克加400克的
[144:23] 總共是兩個400克
