[180:00] 因為它是量飯店
[180:01] 好不好
[180:02] 你如果想要有提帶的禮盒送人
[180:04] 明天中午我們12點
[180:05] 半熟禮家授權小物
[180:08] 很多人可愛的東西跟半熟禮
[180:09] 明天中午來
[180:10] 那個半熟禮系列都會有提帶
[180:13] 好不好
[180:13] 來
[180:14] 再來這個春雨
[180:15] 它裡面呢
[180:16] 我看一下
[180:17] 裡面有六種
[180:19] 六種
[180:19] 六種不同的
[180:21] 六種不同的
[180:22] 然後呢
[180:23] 各五包
[180:24] 所以裡面有三十包
[180:26] 好不好
[180:26] 所以裡面有三十包
[180:28] 那春雨有冬粉
[180:30] 有那個淡淡麵
[180:31] 好不好
[180:32] 來有六種
[180:33] 二哥跟他們講一下
[180:34] 有我們的酸辣湯
[180:35] 我跟你講
[180:35] 日本的酸辣湯
[180:36] 它不是那種臺灣的那一種
[180:37] 它是比較
[180:38] 比較清淡的那一種
[180:39] 它是
[180:40] 哇
[180:41] 這個超值包
[180:43] 你不用
[180:43] 一次擁有六種
[180:44] 然後三十包
[180:46] 來
[180:47] 有我們的酸辣湯
[180:49] 酸辣湯總共是
[180:51] 一二三四四包
[180:54] 然後用我們的
[180:55] 我看一下還有我們的綠咖哩
[180:57] 綠咖哩
[180:59] 這是綠咖哩嗎
[181:00] 我看一下哦
[181:02] 超高
[181:03] 我猜它是綠咖哩
[181:04] 綠咖哩有
[181:05] 一二三四五五包
[181:07] 還有我們的海鮮白湯
[181:10] 海鮮白湯大家都很喜歡
[181:11] 海鮮白湯
[181:12] 它是
[181:13] 剛剛綠咖哩就是有一種
[181:15] 我再講一下
[181:16] 仔細介紹一下好了
[181:18] 酸辣湯的部分
[181:19] 它裡面是黑醋青香
[181:20] 然後裡面有蛤蜊的鹹味
[181:22] 它是暖味又開胃
[181:23] 它不是那一種
[181:24] 臺式的很酸很酸
[181:26] 就是臺味比較重的
[181:28] 不一樣
[181:28] 完全不一樣
[181:29] 它真的是
[181:30] 比較清淡的酸辣湯
[181:31] 綠咖哩的話
[181:32] 它就是走一種
[181:33] 比較泰式的
[181:34] 椰奶香氣
[181:36] 然後它裡面有用一些
[181:37] 青芽辣椒的提味
[181:39] 但它不會辣
[181:40] 它就是比較
[181:40] 異國中情的那一種味道
